date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:35	185932/185932	---M--	200	added ('OK')	image/png	etag:%2263749e92-2d64c%22	https://nft.pixar-worldcup-qatar.com/images/nft.png	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/images/nft.png	(from https://nft.pixar-worldcup-qatar.com/)
22:56:38	851253/851253	---M--	200	added ('OK')	image/png	etag:%2263750fd8-cfd35%22	https://nft.pixar-worldcup-qatar.com/images/mint.png	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/images/mint.png	(from https://nft.pixar-worldcup-qatar.com/)
22:56:38	871531/871531	---M--	200	added ('OK')	image/png	etag:%226375143e-d4c6b%22	https://nft.pixar-worldcup-qatar.com/images/1bg.png	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/images/1bg.png	(from https://nft.pixar-worldcup-qatar.com/)
22:56:39	58072/58072	---M--	200	added ('OK')	application/javascript	etag:%225d15d856-e2d8%22	https://nft.pixar-worldcup-qatar.com/js/bootstrap.min.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/bootstrap.min.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:39	88145/88145	---M--	200	added ('OK')	application/javascript	etag:%225d85f1b0-15851%22	https://nft.pixar-worldcup-qatar.com/js/jquery-3.4.1.min.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/jquery-3.4.1.min.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:39	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%225d276752-a70e%22	https://nft.pixar-worldcup-qatar.com/js/owl.carousel.min.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/owl.carousel.min.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:39	7198/7198	---M--	200	added ('OK')	application/javascript	etag:%225d3827fe-1c1e%22	https://nft.pixar-worldcup-qatar.com/js/viewportchecker.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/viewportchecker.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:40	82374/82374	---M--	200	added ('OK')	application/javascript	etag:%225e09fb96-141c6%22	https://nft.pixar-worldcup-qatar.com/js/snap.svg-min.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/snap.svg-min.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:40	17069/17069	---M--	200	added ('OK')	application/javascript	etag:%225e0a28aa-42ad%22	https://nft.pixar-worldcup-qatar.com/js/jquery.listtopie.min.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/jquery.listtopie.min.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:40	3753/3753	---M--	200	added ('OK')	application/javascript	etag:%22632f0654-ea9%22	https://nft.pixar-worldcup-qatar.com/js/custom.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/custom.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:41	6641/6641	---M--	200	added ('OK')	application/javascript	etag:%2263795710-19f1%22	https://nft.pixar-worldcup-qatar.com/js/web3.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/web3.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:41	13713/13713	---M--	200	added ('OK')	application/javascript	etag:%226356839e-3591%22	https://nft.pixar-worldcup-qatar.com/js/nftAbi.js	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/js/nftAbi.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:47	159822/159822	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2003:52:52%20GMT	https://nft.pixar-worldcup-qatar.com/livewire/livewire.js?id=de3fca26689cb5a39af4	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/livewire/livewire6b46.js	(from https://nft.pixar-worldcup-qatar.com/)
22:56:48	78016/78016	---M--	200	added ('OK')	text/css	etag:%225e0b487e-130c0%22	https://nft.pixar-worldcup-qatar.com/css/animate.css	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/css/animate.css	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
22:56:48	30982/30982	---M--	200	added ('OK')	text/css	etag:%225d31b81c-7906%22	https://nft.pixar-worldcup-qatar.com/css/font-awesome.min.css	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/css/font-awesome.min.css	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
22:56:49	1118/1118	---M--	200	added ('OK')	text/css	etag:%225d6d3980-45e%22	https://nft.pixar-worldcup-qatar.com/css/owl.carousel.css	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/css/owl.carousel.css	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
22:56:49	155758/155758	---M--	200	added ('OK')	text/css	etag:%225d15d870-2606e%22	https://nft.pixar-worldcup-qatar.com/css/bootstrap.min.css	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/css/bootstrap.min.css	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
22:56:49	1291/1291	---M--	200	added ('OK')	text/css	etag:%225de9687c-50b%22	https://nft.pixar-worldcup-qatar.com/css/jquery.listtopie.css	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/css/jquery.listtopie.css	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
22:56:50	6603/6603	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2014:56:50%20GMT	https://nft.pixar-worldcup-qatar.com/images/Preloader_2.gif	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/images/Preloader_2.gif	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
22:56:50	6603/6603	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2014:56:51%20GMT	https://nft.pixar-worldcup-qatar.com/images/select-icon.png	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/images/select-icon.png	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
22:56:51	6603/6603	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2014:56:52%20GMT	https://nft.pixar-worldcup-qatar.com/images/inner-banner-bg.jpg	C:/My%20Web%20Sites/pixar/https___nft.pixar-worldcup-qatar.com_#mint-part/nft.pixar-worldcup-qatar.com/images/inner-banner-bg.jpg	(from https://nft.pixar-worldcup-qatar.com/css/cryptoz.css)
